PassengerId,Transported
0.0,True
1.0,True
2.0,True
3.0,True
4.0,True
5.0,True
6.0,True
7.0,True
8.0,True
9.0,True
10.0,True
11.0,True
12.0,True
13.0,True
14.0,True
15.0,True
16.0,True
17.0,True
18.0,True
19.0,True
20.0,True
21.0,True
22.0,True
23.0,True
24.0,True
25.0,True
26.0,True
27.0,True
28.0,True
29.0,True
30.0,True
31.0,True
32.0,True
33.0,True
34.0,True
35.0,True
36.0,True
37.0,True
38.0,True
39.0,True
40.0,True
41.0,True
42.0,True
43.0,True
44.0,True
45.0,True
46.0,True
47.0,True
48.0,True
49.0,True
50.0,True
51.0,True
52.0,True
53.0,True
54.0,True
55.0,True
56.0,True
57.0,True
58.0,True
59.0,True
60.0,True
61.0,True
62.0,True
63.0,True
64.0,True
65.0,True
66.0,True
67.0,True
68.0,True
69.0,True
70.0,True
71.0,True
72.0,True
73.0,True
74.0,True
75.0,True
76.0,True
77.0,True
78.0,True
79.0,True
80.0,True
81.0,True
82.0,True
83.0,True
84.0,True
85.0,True
86.0,True
87.0,True
88.0,True
89.0,True
90.0,True
91.0,True
92.0,True
93.0,True
94.0,True
95.0,True
96.0,True
97.0,True
98.0,True
99.0,True
100.0,True
101.0,True
102.0,True
103.0,True
104.0,True
105.0,True
106.0,True
107.0,True
108.0,True
109.0,True
110.0,True
111.0,True
112.0,True
113.0,True
114.0,True
115.0,True
116.0,True
117.0,True
118.0,True
119.0,True
120.0,True
121.0,True
122.0,True
123.0,True
124.0,True
125.0,True
126.0,True
127.0,True
128.0,True
129.0,True
130.0,True
131.0,True
132.0,True
133.0,True
134.0,True
135.0,True
136.0,True
137.0,True
138.0,True
139.0,True
140.0,True
141.0,True
142.0,True
143.0,True
144.0,True
145.0,True
146.0,True
147.0,True
148.0,True
149.0,True
150.0,True
151.0,True
152.0,True
153.0,True
154.0,True
155.0,True
156.0,True
157.0,True
158.0,True
159.0,True
160.0,True
161.0,True
162.0,True
163.0,True
164.0,True
165.0,True
166.0,True
167.0,True
168.0,True
169.0,True
170.0,True
171.0,True
172.0,True
173.0,True
174.0,True
175.0,True
176.0,True
177.0,True
178.0,True
179.0,True
180.0,True
181.0,True
182.0,True
183.0,True
184.0,True
185.0,True
186.0,True
187.0,True
188.0,True
189.0,True
190.0,True
191.0,True
192.0,True
193.0,True
194.0,True
195.0,True
196.0,True
197.0,True
198.0,True
199.0,True
200.0,True
201.0,True
202.0,True
203.0,True
204.0,True
205.0,True
206.0,True
207.0,True
208.0,True
209.0,True
210.0,True
211.0,True
212.0,True
213.0,True
214.0,True
215.0,True
216.0,True
217.0,True
218.0,True
219.0,True
220.0,True
221.0,True
222.0,True
223.0,True
224.0,True
225.0,True
226.0,True
227.0,True
228.0,True
229.0,True
230.0,True
231.0,True
232.0,True
233.0,True
234.0,True
235.0,True
236.0,True
237.0,True
238.0,True
239.0,True
240.0,True
241.0,True
242.0,True
243.0,True
244.0,True
245.0,True
246.0,True
247.0,True
248.0,True
249.0,True
250.0,True
251.0,True
252.0,True
253.0,True
254.0,True
255.0,True
256.0,True
257.0,True
258.0,True
259.0,True
260.0,True
261.0,True
262.0,True
263.0,True
264.0,True
265.0,True
266.0,True
267.0,True
268.0,True
269.0,True
270.0,True
271.0,True
272.0,True
273.0,True
274.0,True
275.0,True
276.0,True
277.0,True
278.0,True
279.0,True
280.0,True
281.0,True
282.0,True
283.0,True
284.0,True
285.0,True
286.0,True
287.0,True
288.0,True
289.0,True
290.0,True
291.0,True
292.0,True
293.0,True
294.0,True
295.0,True
296.0,True
297.0,True
298.0,True
299.0,True
300.0,True
301.0,True
302.0,True
303.0,True
304.0,True
305.0,True
306.0,True
307.0,True
308.0,True
309.0,True
310.0,True
311.0,True
312.0,True
313.0,True
314.0,True
315.0,True
316.0,True
317.0,True
318.0,True
319.0,True
320.0,True
321.0,True
322.0,True
323.0,True
324.0,True
325.0,True
326.0,True
327.0,True
328.0,True
329.0,True
330.0,True
331.0,True
332.0,True
333.0,True
334.0,True
335.0,True
336.0,True
337.0,True
338.0,True
339.0,True
340.0,True
341.0,True
342.0,True
343.0,True
344.0,True
345.0,True
346.0,True
347.0,True
348.0,True
349.0,True
350.0,True
351.0,True
352.0,True
353.0,True
354.0,True
355.0,True
356.0,True
357.0,True
358.0,True
359.0,True
360.0,True
361.0,True
362.0,True
363.0,True
364.0,True
365.0,True
366.0,True
367.0,True
368.0,True
369.0,True
370.0,True
371.0,True
372.0,True
373.0,True
374.0,True
375.0,True
376.0,True
377.0,True
378.0,True
379.0,True
380.0,True
381.0,True
382.0,True
383.0,True
384.0,True
385.0,True
386.0,True
387.0,True
388.0,True
389.0,True
390.0,True
391.0,True
392.0,True
393.0,True
394.0,True
395.0,True
396.0,True
397.0,True
398.0,True
399.0,True
400.0,True
401.0,True
402.0,True
403.0,True
404.0,True
405.0,True
406.0,True
407.0,True
408.0,True
409.0,True
410.0,True
411.0,True
412.0,True
413.0,True
414.0,True
415.0,True
416.0,True
417.0,True
418.0,True
419.0,True
420.0,True
421.0,True
422.0,True
423.0,True
424.0,True
425.0,True
426.0,True
427.0,True
428.0,True
429.0,True
430.0,True
431.0,True
432.0,True
433.0,True
434.0,True
435.0,True
436.0,True
437.0,True
438.0,True
439.0,True
440.0,True
441.0,True
442.0,True
443.0,True
444.0,True
445.0,True
446.0,True
447.0,True
448.0,True
449.0,True
450.0,True
451.0,True
452.0,True
453.0,True
454.0,True
455.0,True
456.0,True
